"","Package","Version"
"abind","abind","1.4-5"
"assertthat","assertthat","0.2.0"
"backports","backports","1.1.2"
"base","base","3.5.1"
"base64enc","base64enc","0.1-3"
"BH","BH","1.66.0-1"
"bindr","bindr","0.1.1"
"bindrcpp","bindrcpp","0.2.2"
"boot","boot","1.3-20"
"broom","broom","0.5.0"
"callr","callr","3.0.0"
"car","car","3.0-2"
"carData","carData","3.0-2"
"caret","caret","6.0-81"
"cellranger","cellranger","1.1.0"
"class","class","7.3-14"
"cli","cli","1.0.1"
"clipr","clipr","0.4.1"
"cluster","cluster","2.0.7-1"
"codetools","codetools","0.2-15"
"colorspace","colorspace","1.3-2"
"compiler","compiler","3.5.1"
"corrplot","corrplot","0.84"
"cowplot","cowplot","0.9.3"
"crayon","crayon","1.3.4"
"curl","curl","3.2"
"data.table","data.table","1.11.8"
"datasets","datasets","3.5.1"
"DBI","DBI","1.0.0"
"dbplyr","dbplyr","1.2.2"
"dendextend","dendextend","1.9.0"
"DEoptimR","DEoptimR","1.0-8"
"digest","digest","0.6.18"
"diptest","diptest","0.75-7"
"dplyr","dplyr","0.7.8"
"ellipse","ellipse","0.4.1"
"evaluate","evaluate","0.12"
"factoextra","factoextra","1.0.5"
"FactoMineR","FactoMineR","1.41"
"fansi","fansi","0.4.0"
"flashClust","flashClust","1.01-2"
"flexmix","flexmix","2.3-14"
"forcats","forcats","0.3.0"
"foreach","foreach","1.4.4"
"foreign","foreign","0.8-70"
"fpc","fpc","2.1-11.1"
"fs","fs","1.2.6"
"generics","generics","0.0.2"
"ggplot2","ggplot2","2.2.1"
"ggpubr","ggpubr","0.2"
"ggrepel","ggrepel","0.8.0"
"ggsci","ggsci","2.9"
"ggsignif","ggsignif","0.4.0"
"glue","glue","1.3.0"
"gower","gower","0.1.2"
"graphics","graphics","3.5.1"
"grDevices","grDevices","3.5.1"
"grid","grid","3.5.1"
"gridExtra","gridExtra","2.3"
"gtable","gtable","0.2.0"
"haven","haven","2.0.0"
"highcharter","highcharter","0.5.0"
"highr","highr","0.7"
"hms","hms","0.4.2"
"htmltools","htmltools","0.3.6"
"htmlwidgets","htmlwidgets","1.3"
"httr","httr","1.3.1"
"igraph","igraph","1.2.2"
"ipred","ipred","0.9-8"
"iterators","iterators","1.0.10"
"jsonlite","jsonlite","1.5"
"kernlab","kernlab","0.9-27"
"KernSmooth","KernSmooth","2.23-15"
"knitr","knitr","1.20"
"labeling","labeling","0.3"
"lattice","lattice","0.20-35"
"lava","lava","1.6.4"
"lazyeval","lazyeval","0.2.1"
"leaps","leaps","3.0"
"lme4","lme4","1.1-19"
"lubridate","lubridate","1.7.4"
"magrittr","magrittr","1.5"
"maptools","maptools","0.9-4"
"markdown","markdown","0.8"
"MASS","MASS","7.3-50"
"Matrix","Matrix","1.2-14"
"MatrixModels","MatrixModels","0.4-1"
"mclust","mclust","5.4.2"
"methods","methods","3.5.1"
"mgcv","mgcv","1.8-24"
"mime","mime","0.6"
"minqa","minqa","1.2.4"
"ModelMetrics","ModelMetrics","1.2.2"
"modelr","modelr","0.1.2"
"modeltools","modeltools","0.2-22"
"munsell","munsell","0.5.0"
"mvtnorm","mvtnorm","1.0-8"
"nlme","nlme","3.1-137"
"nloptr","nloptr","1.2.1"
"nnet","nnet","7.3-12"
"numDeriv","numDeriv","2016.8-1"
"openssl","openssl","1.1"
"openxlsx","openxlsx","4.1.0"
"parallel","parallel","3.5.1"
"pbkrtest","pbkrtest","0.4-7"
"pillar","pillar","1.3.0"
"pkgconfig","pkgconfig","2.0.2"
"plogr","plogr","0.2.0"
"plyr","plyr","1.8.4"
"polynom","polynom","1.3-9"
"prabclus","prabclus","2.2-6"
"processx","processx","3.2.0"
"prodlim","prodlim","2018.04.18"
"ps","ps","1.2.1"
"purrr","purrr","0.2.5"
"quantmod","quantmod","0.4-13"
"quantreg","quantreg","5.36"
"R6","R6","2.3.0"
"RColorBrewer","RColorBrewer","1.1-2"
"Rcpp","Rcpp","1.0.0"
"RcppEigen","RcppEigen","0.3.3.5.0"
"RcppRoll","RcppRoll","0.3.0"
"readr","readr","1.2.1"
"readxl","readxl","1.1.0"
"recipes","recipes","0.1.4"
"rematch","rematch","1.0.1"
"reprex","reprex","0.2.1"
"reshape2","reshape2","1.4.3"
"rio","rio","0.5.16"
"rlang","rlang","0.3.0.1"
"rlist","rlist","0.4.6.1"
"rmarkdown","rmarkdown","1.10"
"robustbase","robustbase","0.93-3"
"rpart","rpart","4.1-13"
"rprojroot","rprojroot","1.3-2"
"rstudioapi","rstudioapi","0.8"
"rvest","rvest","0.3.2"
"scales","scales","1.0.0"
"scatterplot3d","scatterplot3d","0.3-41"
"selectr","selectr","0.4-1"
"sp","sp","1.3-1"
"SparseM","SparseM","1.77"
"spatial","spatial","7.3-11"
"splines","splines","3.5.1"
"SQUAREM","SQUAREM","2017.10-1"
"stats","stats","3.5.1"
"stats4","stats4","3.5.1"
"stringi","stringi","1.2.4"
"stringr","stringr","1.3.1"
"survival","survival","2.42-3"
"tcltk","tcltk","3.5.1"
"tibble","tibble","1.4.2"
"tidyr","tidyr","0.8.2"
"tidyselect","tidyselect","0.2.5"
"tidyverse","tidyverse","1.2.1"
"timeDate","timeDate","3043.102"
"tinytex","tinytex","0.9"
"tools","tools","3.5.1"
"translations","translations","3.5.1"
"trimcluster","trimcluster","0.1-2.1"
"TTR","TTR","0.23-4"
"utf8","utf8","1.1.4"
"utils","utils","3.5.1"
"viridis","viridis","0.5.1"
"viridisLite","viridisLite","0.3.0"
"whisker","whisker","0.3-2"
"withr","withr","2.1.2"
"xfun","xfun","0.4"
"XML","XML","3.98-1.16"
"xml2","xml2","1.2.0"
"xts","xts","0.11-2"
"yaml","yaml","2.2.0"
"zip","zip","1.0.0"
"zoo","zoo","1.8-4"
